,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
677,"Sangamon County, IL",197661,230
678,"Schuyler County, IL",7064,7
679,"Scott County, IL",5047,15
680,"Shelby County, IL",21832,19
681,"Stark County, IL",5500,0
682,"Stephenson County, IL",45433,52
683,"Tazewell County, IL",133852,211
684,"Union County, IL",17127,19
685,"Vermilion County, IL",78407,211
686,"Wabash County, IL",11573,14
687,"Warren County, IL",17338,40
688,"Washington County, IL",14155,18
689,"Wayne County, IL",16487,38
690,"White County, IL",14025,11
691,"Whiteside County, IL",56396,76
692,"Will County, IL",688697,1892
693,"Williamson County, IL",67299,164
694,"Winnebago County, IL",286174,846
695,"Woodford County, IL",38817,14
696,"Adams County, IN",35195,23
697,"Allen County, IN",370016,692
698,"Bartholomew County, IN",81893,173
699,"Benton County, IN",8667,1
700,"Blackford County, IN",12129,40
701,"Boone County, IN",64321,75
702,"Brown County, IN",15034,0
703,"Carroll County, IN",19994,56
704,"Cass County, IN",38084,187
705,"Clark County, IN",115702,117
706,"Clay County, IN",26268,25
707,"Clinton County, IN",32301,91
708,"Crawford County, IN",10581,51
709,"Daviess County, IN",32937,10
710,"Dearborn County, IN",49501,151
711,"Decatur County, IN",26552,112
712,"DeKalb County, IN",42704,35
713,"Delaware County, IN",115616,98
714,"Dubois County, IN",42418,113
715,"Elkhart County, IN",203604,440
716,"Fayette County, IN",23259,0
717,"Floyd County, IN",76809,290
718,"Fountain County, IN",16486,27
719,"Franklin County, IN",22842,3
720,"Fulton County, IN",20212,93
721,"Gibson County, IN",33596,18
722,"Grant County, IN",66944,119
723,"Greene County, IN",32295,13
724,"Hamilton County, IN",316095,386
725,"Hancock County, IN",73830,80
726,"Harrison County, IN",39712,110
727,"Hendricks County, IN",160940,284
728,"Henry County, IN",48483,133
729,"Howard County, IN",82387,447
730,"Huntington County, IN",36378,148
731,"Jackson County, IN",43938,157
732,"Jasper County, IN",33449,30
733,"Jay County, IN",20993,13
734,"Jefferson County, IN",32237,98
735,"Jennings County, IN",27727,97
736,"Johnson County, IN",151564,239
737,"Knox County, IN",37409,36
738,"Kosciusko County, IN",78806,272
739,"LaGrange County, IN",38942,19
740,"Lake County, IN",486849,1279
741,"LaPorte County, IN",110552,349
742,"Lawrence County, IN",45619,263
743,"Madison County, IN",129505,295
744,"Marion County, IN",944523,2447
745,"Marshall County, IN",46595,69
746,"Martin County, IN",10210,34
747,"Miami County, IN",35901,267
748,"Monroe County, IN",145403,344
749,"Montgomery County, IN",38276,75
750,"Morgan County, IN",69727,46
751,"Newton County, IN",14018,14
752,"Noble County, IN",47451,21
753,"Ohio County, IN",5887,5
754,"Orange County, IN",19547,22
755,"Owen County, IN",20878,50
756,"Parke County, IN",16996,33
757,"Perry County, IN",19141,34
758,"Pike County, IN",12411,0
759,"Porter County, IN",168041,287
760,"Posey County, IN",25589,7
761,"Pulaski County, IN",12660,26
762,"Putnam County, IN",37559,56
763,"Randolph County, IN",25076,45
764,"Ripley County, IN",28425,116
765,"Rush County, IN",16704,0
766,"St. Joseph County, IN",269240,1255
767,"Scott County, IN",23743,66
768,"Shelby County, IN",44399,57
