,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
2147,"Craig County, OK",14493,3185
2148,"Creek County, OK",71160,8060
2149,"Custer County, OK",29209,973
2150,"Delaware County, OK",42112,9572
2151,"Dewey County, OK",4918,105
2152,"Ellis County, OK",4072,75
2153,"Garfield County, OK",62190,1224
2154,"Garvin County, OK",27823,1495
2155,"Grady County, OK",54733,2615
2156,"Grant County, OK",4418,35
2157,"Greer County, OK",5943,188
2158,"Harmon County, OK",2721,11
2159,"Harper County, OK",3847,13
2160,"Haskell County, OK",12704,1498
2161,"Hughes County, OK",13460,2752
2162,"Jackson County, OK",25384,413
2163,"Jefferson County, OK",6223,400
2164,"Johnston County, OK",11041,729
2165,"Kay County, OK",44880,3805
2166,"Kingfisher County, OK",15618,522
2167,"Kiowa County, OK",9001,387
2168,"Latimer County, OK",10495,2182
2169,"Le Flore County, OK",49909,5432
2170,"Lincoln County, OK",34854,2658
2171,"Logan County, OK",46044,1680
2172,"Love County, OK",9933,545
2173,"McClain County, OK",38634,2137
2174,"McCurtain County, OK",32966,4612
2175,"McIntosh County, OK",19819,3149
2176,"Major County, OK",7718,149
2177,"Marshall County, OK",16376,1227
2178,"Mayes County, OK",40980,6997
2179,"Murray County, OK",13875,1365
2180,"Muskogee County, OK",69084,12573
2181,"Noble County, OK",11411,842
2182,"Nowata County, OK",10383,1636
2183,"Okfuskee County, OK",12115,1614
2184,"Oklahoma County, OK",782051,21516
2185,"Okmulgee County, OK",38889,5286
2186,"Osage County, OK",47311,6186
2187,"Ottawa County, OK",31566,5287
2188,"Pawnee County, OK",16428,1983
2189,"Payne County, OK",81512,3755
2190,"Pittsburg County, OK",44382,2941
2191,"Pontotoc County, OK",38358,4037
2192,"Pottawatomie County, OK",72000,10456
2193,"Pushmataha County, OK",11119,1505
2194,"Roger Mills County, OK",3708,110
2195,"Rogers County, OK",90814,11304
2196,"Seminole County, OK",25071,4920
2197,"Sequoyah County, OK",41359,8342
2198,"Stephens County, OK",43983,2331
2199,"Texas County, OK",21121,147
2200,"Tillman County, OK",7515,192
2201,"Tulsa County, OK",642781,31257
2202,"Wagoner County, OK",77850,6656
2203,"Washington County, OK",52001,5665
2204,"Washita County, OK",11432,141
2205,"Woods County, OK",9127,142
2206,"Woodward County, OK",20967,290
2207,"Baker County, OR",15984,213
2208,"Benton County, OR",89780,521
2209,"Clackamas County, OR",405788,3054
2210,"Clatsop County, OR",38562,223
2211,"Columbia County, OR",50851,474
2212,"Coos County, OR",63308,1477
2213,"Crook County, OR",22337,180
2214,"Curry County, OR",22507,429
2215,"Deschutes County, OR",180640,820
2216,"Douglas County, OR",108323,1396
2217,"Gilliam County, OR",1907,82
2218,"Grant County, OR",7183,99
2219,"Harney County, OR",7228,118
2220,"Hood River County, OR",23131,160
2221,"Jackson County, OR",214267,2338
2222,"Jefferson County, OR",23143,3903
2223,"Josephine County, OR",85481,1003
2224,"Klamath County, OR",66310,2583
2225,"Lake County, OR",7843,202
2226,"Lane County, OR",368882,4028
2227,"Lincoln County, OR",47881,1390
2228,"Linn County, OR",122870,1124
2229,"Malheur County, OR",30431,341
2230,"Marion County, OR",335553,3090
2231,"Morrow County, OR",11215,167
2232,"Multnomah County, OR",798647,7093
2233,"Polk County, OR",81427,1571
2234,"Sherman County, OR",1605,15
2235,"Tillamook County, OR",26076,188
2236,"Umatilla County, OR",76898,2485
2237,"Union County, OR",26028,342
2238,"Wallowa County, OR",6924,72
2239,"Wasco County, OR",25866,925
2240,"Washington County, OR",581821,3626
2241,"Wheeler County, OR",1426,10
2242,"Yamhill County, OR",103820,1219
2243,"Adams County, PA",102023,67
2244,"Allegheny County, PA",1225561,1354
2245,"Armstrong County, PA",66331,19
2246,"Beaver County, PA",166896,180
2247,"Bedford County, PA",48611,54
2248,"Berks County, PA",416642,2983
2249,"Blair County, PA",123842,42
2250,"Bradford County, PA",61304,39
2251,"Bucks County, PA",626370,1032
2252,"Butler County, PA",186566,80
2253,"Cambria County, PA",134550,72
2254,"Cameron County, PA",4686,20
2255,"Carbon County, PA",63931,23
2256,"Centre County, PA",161443,154
2257,"Chester County, PA",517156,557
2258,"Clarion County, PA",38827,83
2259,"Clearfield County, PA",80216,181
2260,"Clinton County, PA",39074,80
2261,"Columbia County, PA",66220,82
2262,"Crawford County, PA",86164,38
2263,"Cumberland County, PA",247433,312
2264,"Dauphin County, PA",274515,662
2265,"Delaware County, PA",563527,968
2266,"Elk County, PA",30608,76
2267,"Erie County, PA",275972,657
2268,"Fayette County, PA",132289,48
2269,"Forest County, PA",7351,23
2270,"Franklin County, PA",153751,223
2271,"Fulton County, PA",14506,36
2272,"Greene County, PA",37144,34
2273,"Huntingdon County, PA",45421,52
2274,"Indiana County, PA",85755,210
2275,"Jefferson County, PA",44084,78
2276,"Juniata County, PA",24562,0
2277,"Lackawanna County, PA",211454,127
2278,"Lancaster County, PA",538347,875
2279,"Lawrence County, PA",87382,84
2280,"Lebanon County, PA",138674,91
2281,"Lehigh County, PA",362613,1148
2282,"Luzerne County, PA",317884,661
2283,"Lycoming County, PA",114859,180
2284,"McKean County, PA",41806,28
2285,"Mercer County, PA",112630,123
2286,"Mifflin County, PA",46362,73
2287,"Monroe County, PA",167586,576
2288,"Montgomery County, PA",821301,1044
2289,"Montour County, PA",18294,6
2290,"Northampton County, PA",301778,850
2291,"Northumberland County, PA",92325,253
2292,"Perry County, PA",45924,88
2293,"Philadelphia County, PA",1575522,5843
2294,"Pike County, PA",55498,71
2295,"Potter County, PA",16937,39
2296,"Schuylkill County, PA",143555,303
2297,"Snyder County, PA",40466,12
2298,"Somerset County, PA",74949,60
2299,"Sullivan County, PA",6177,16
2300,"Susquehanna County, PA",41340,35
2301,"Tioga County, PA",41226,45
2302,"Union County, PA",45114,323
2303,"Venango County, PA",52376,12
2304,"Warren County, PA",40035,51
2305,"Washington County, PA",207547,192
2306,"Wayne County, PA",51536,116
2307,"Westmoreland County, PA",354751,320
2308,"Wyoming County, PA",27588,23
2309,"York County, PA",444014,660
2310,"Bristol County, RI",48900,43
2311,"Kent County, RI",163861,442
2312,"Newport County, RI",83075,354
2313,"Providence County, RI",634533,3677
2314,"Washington County, RI",126242,968
2315,"Abbeville County, SC",24657,0
2316,"Aiken County, SC",166926,595
2317,"Allendale County, SC",9214,30
2318,"Anderson County, SC",195995,319
2319,"Bamberg County, SC",14600,78
2320,"Barnwell County, SC",21577,69
2321,"Beaufort County, SC",182658,477
2322,"Berkeley County, SC",209065,945
2323,"Calhoun County, SC",14713,80
2324,"Charleston County, SC",394708,674
2325,"Cherokee County, SC",56711,103
2326,"Chester County, SC",32326,157
2327,"Chesterfield County, SC",46024,219
2328,"Clarendon County, SC",34017,29
2329,"Colleton County, SC",37568,289
2330,"Darlington County, SC",67253,256
2331,"Dillon County, SC",30871,665
2332,"Dorchester County, SC",155474,632
2333,"Edgefield County, SC",26769,64
2334,"Fairfield County, SC",22712,58
2335,"Florence County, SC",138561,382
2336,"Georgetown County, SC",61605,75
2337,"Greenville County, SC",498402,1966
2338,"Greenwood County, SC",70264,25
2339,"Hampton County, SC",19807,36
2340,"Horry County, SC",320915,1691
2341,"Jasper County, SC",27900,27
2342,"Kershaw County, SC",64361,147
2343,"Lancaster County, SC",89546,188
2344,"Laurens County, SC",66710,100
2345,"Lee County, SC",17606,25
2346,"Lexington County, SC",286316,813
2347,"McCormick County, SC",9606,34
2348,"Marion County, SC",31562,189
2349,"Marlboro County, SC",27131,810
2350,"Newberry County, SC",38068,162
2351,"Oconee County, SC",76696,331
2352,"Orangeburg County, SC",88454,302
2353,"Pickens County, SC",122746,334
2354,"Richland County, SC",408263,686
2355,"Saluda County, SC",20299,56
2356,"Spartanburg County, SC",302195,526
2357,"Sumter County, SC",106995,321
2358,"Union County, SC",27644,16
2359,"Williamsburg County, SC",31794,100
2360,"York County, SC",258641,1605
2361,"Aurora County, SD",2759,101
2362,"Beadle County, SD",18374,258
2363,"Bennett County, SD",3437,1825
2364,"Bon Homme County, SD",6969,417
2365,"Brookings County, SD",34239,351
2366,"Brown County, SD",38840,1215
2367,"Brule County, SD",5256,581
2368,"Buffalo County, SD",2053,1756
2369,"Butte County, SD",10177,235
2370,"Campbell County, SD",1435,5
2371,"Charles Mix County, SD",9344,2945
2372,"Clark County, SD",3673,72
2373,"Clay County, SD",13925,551
2374,"Codington County, SD",27993,601
2375,"Corson County, SD",4168,2858
2376,"Custer County, SD",8573,300
2377,"Davison County, SD",19901,431
2378,"Day County, SD",5506,592
2379,"Deuel County, SD",4306,1
2380,"Dewey County, SD",5779,4529
2381,"Douglas County, SD",2930,65
2382,"Edmunds County, SD",3940,34
2383,"Fall River County, SD",6774,430
2384,"Faulk County, SD",2322,98
2385,"Grant County, SD",7217,202
2386,"Gregory County, SD",4201,289
2387,"Haakon County, SD",2082,60
2388,"Hamlin County, SD",6000,24
2389,"Hand County, SD",3301,0
2390,"Hanson County, SD",3397,1
2391,"Harding County, SD",1311,41
2392,"Hughes County, SD",17617,2189
2393,"Hutchinson County, SD",7315,149
2394,"Hyde County, SD",1331,151
2395,"Jackson County, SD",3287,1832
2396,"Jerauld County, SD",2029,21
2397,"Jones County, SD",735,10
2398,"Kingsbury County, SD",4967,9
2399,"Lake County, SD",12574,75
2400,"Lawrence County, SD",25234,595
2401,"Lincoln County, SD",54914,310
2402,"Lyman County, SD",3869,1570
2403,"McCook County, SD",5511,29
2404,"McPherson County, SD",2364,82
2405,"Marshall County, SD",4895,353
2406,"Meade County, SD",27424,864
2407,"Mellette County, SD",2055,1200
2408,"Miner County, SD",2229,5
2409,"Minnehaha County, SD",186749,4415
2410,"Moody County, SD",6506,825
2411,"Oglala Lakota County, SD",14335,13257
2412,"Pennington County, SD",109294,9604
2413,"Perkins County, SD",2907,63
2414,"Potter County, SD",2326,42
2415,"Roberts County, SD",10285,3821
2416,"Sanborn County, SD",2388,20
2417,"Spink County, SD",6543,111
2418,"Stanley County, SD",2997,290
2419,"Sully County, SD",1331,17
2420,"Todd County, SD",10146,8345
2421,"Tripp County, SD",5468,680
2422,"Turner County, SD",8264,52
2423,"Union County, SD",15177,127
2424,"Walworth County, SD",5510,548
2425,"Yankton County, SD",22717,693
2426,"Ziebach County, SD",2814,2109
2427,"Anderson County, TN",75775,379
2428,"Bedford County, TN",47558,27
2429,"Benton County, TN",16112,69
2430,"Bledsoe County, TN",14602,237
2431,"Blount County, TN",128443,369
2432,"Bradley County, TN",104557,122
2433,"Campbell County, TN",39687,161
2434,"Cannon County, TN",13976,34
2435,"Carroll County, TN",28018,98
2436,"Carter County, TN",56391,198
2437,"Cheatham County, TN",39929,95
2438,"Chester County, TN",17150,7
2439,"Claiborne County, TN",31613,60
2440,"Clay County, TN",7686,77
2441,"Cocke County, TN",35336,290
2442,"Coffee County, TN",54531,86
2443,"Crockett County, TN",14499,24
2444,"Cumberland County, TN",58634,375
2445,"Davidson County, TN",684017,1640
2446,"Decatur County, TN",11683,0
2447,"DeKalb County, TN",19601,0
2448,"Dickson County, TN",51988,220
2449,"Dyer County, TN",37576,199
2450,"Fayette County, TN",39692,334
2451,"Fentress County, TN",17994,32
2452,"Franklin County, TN",41512,65
2453,"Gibson County, TN",49175,189
2454,"Giles County, TN",29167,90
2455,"Grainger County, TN",23013,88
2456,"Greene County, TN",68669,176
2457,"Grundy County, TN",13331,118
2458,"Hamblen County, TN",63740,126
2459,"Hamilton County, TN",357546,623
2460,"Hancock County, TN",6585,19
2461,"Hardeman County, TN",25562,56
2462,"Hardin County, TN",25771,13
2463,"Hawkins County, TN",56402,90
2464,"Haywood County, TN",17779,0
2465,"Henderson County, TN",27859,0
2466,"Henry County, TN",32279,50
2467,"Hickman County, TN",24678,69
2468,"Houston County, TN",8176,86
2469,"Humphreys County, TN",18318,206
2470,"Jackson County, TN",11615,0
2471,"Jefferson County, TN",53247,64
2472,"Johnson County, TN",17789,85
2473,"Knox County, TN",456185,1373
2474,"Lake County, TN",7526,16
2475,"Lauderdale County, TN",26297,198
2476,"Lawrence County, TN",42937,119
2477,"Lewis County, TN",11956,0
2478,"Lincoln County, TN",33711,69
2479,"Loudon County, TN",51610,94
2480,"McMinn County, TN",52773,135
2481,"McNairy County, TN",25903,46
2482,"Macon County, TN",23487,56
2483,"Madison County, TN",97682,80
2484,"Marion County, TN",28417,62
2485,"Marshall County, TN",32269,7
2486,"Maury County, TN",89776,286
2487,"Meigs County, TN",11962,27
2488,"Monroe County, TN",45876,367
2489,"Montgomery County, TN",196387,1109
2490,"Moore County, TN",6322,149
2491,"Morgan County, TN",21596,31
2492,"Obion County, TN",30520,72
2493,"Overton County, TN",22004,0
2494,"Perry County, TN",7912,9
2495,"Pickett County, TN",5088,0
2496,"Polk County, TN",16782,45
2497,"Putnam County, TN",76440,294
2498,"Rhea County, TN",32628,68
2499,"Roane County, TN",52897,138
2500,"Robertson County, TN",69344,218
2501,"Rutherford County, TN",307128,724
2502,"Scott County, TN",21954,62
2503,"Sequatchie County, TN",14730,9
2504,"Sevier County, TN",96287,338
2505,"Shelby County, TN",937005,1607
2506,"Smith County, TN",19458,88
2507,"Stewart County, TN",13301,61
2508,"Sullivan County, TN",156734,188
2509,"Sumner County, TN",179473,593
2510,"Tipton County, TN",61446,230
2511,"Trousdale County, TN",9573,24
2512,"Unicoi County, TN",17780,18
2513,"Union County, TN",19293,6
2514,"Van Buren County, TN",5704,0
2515,"Warren County, TN",40454,141
2516,"Washington County, TN",127055,377
2517,"Wayne County, TN",16649,60
2518,"Weakley County, TN",33626,106
2519,"White County, TN",26580,8
2520,"Williamson County, TN",218648,424
2521,"Wilson County, TN",132663,370
2522,"Anderson County, TX",57863,270
2523,"Andrews County, TX",17818,0
2524,"Angelina County, TX",87607,599
2525,"Aransas County, TX",24763,50
2526,"Archer County, TX",8789,40
2527,"Armstrong County, TX",1916,29
2528,"Atascosa County, TX",48828,91
2529,"Austin County, TX",29565,48
2530,"Bailey County, TX",7092,75
2531,"Bandera County, TX",21763,296
2532,"Bastrop County, TX",82577,408
2533,"Baylor County, TX",3591,0
2534,"Bee County, TX",32691,213
2535,"Bell County, TX",342236,2434
2536,"Bexar County, TX",1925865,13229
2537,"Blanco County, TX",11279,116
2538,"Borden County, TX",665,0
2539,"Bosque County, TX",18122,84
2540,"Bowie County, TX",93858,877
2541,"Brazoria County, TX",353999,2024
2542,"Brazos County, TX",219193,823
2543,"Brewster County, TX",9216,179
2544,"Briscoe County, TX",1546,0
2545,"Brooks County, TX",7180,64
2546,"Brown County, TX",37834,198
2547,"Burleson County, TX",17863,59
2548,"Burnet County, TX",45750,323
2549,"Caldwell County, TX",41401,270
2550,"Calhoun County, TX",21807,19
2551,"Callahan County, TX",13770,11
2552,"Cameron County, TX",421750,1101
2553,"Camp County, TX",12813,52
2554,"Carson County, TX",6032,79
2555,"Cass County, TX",30087,39
2556,"Castro County, TX",7787,17
2557,"Chambers County, TX",40292,85
2558,"Cherokee County, TX",51903,324
2559,"Childress County, TX",7226,69
2560,"Clay County, TX",10387,119
2561,"Cochran County, TX",2904,0
2562,"Coke County, TX",3275,44
2563,"Coleman County, TX",8391,39
2564,"Collin County, TX",944350,4404
2565,"Collingsworth County, TX",2996,81
2566,"Colorado County, TX",21022,35
2567,"Comal County, TX",135097,294
2568,"Comanche County, TX",13495,63
2569,"Concho County, TX",4233,10
2570,"Cooke County, TX",39571,260
2571,"Coryell County, TX",75389,618
2572,"Cottle County, TX",1623,5
2573,"Crane County, TX",4839,6
2574,"Crockett County, TX",3633,0
2575,"Crosby County, TX",5861,0
2576,"Culberson County, TX",2241,0
2577,"Dallam County, TX",7243,87
2578,"Dallas County, TX",2586552,9595
2579,"Dawson County, TX",12964,159
2580,"Deaf Smith County, TX",18899,92
2581,"Delta County, TX",5215,16
2582,"Denton County, TX",807047,3742
2583,"DeWitt County, TX",20435,147
2584,"Dickens County, TX",2216,17
2585,"Dimmit County, TX",10663,0
2586,"Donley County, TX",3387,13
2587,"Duval County, TX",11355,32
2588,"Eastland County, TX",18270,71
2589,"Ector County, TX",158342,703
2590,"Edwards County, TX",2055,1
2591,"Ellis County, TX",168838,1767
2592,"El Paso County, TX",837654,5142
2593,"Erath County, TX",41482,477
2594,"Falls County, TX",17299,71
2595,"Fannin County, TX",34175,207
2596,"Fayette County, TX",25066,13
2597,"Fisher County, TX",3883,35
2598,"Floyd County, TX",5872,8
2599,"Foard County, TX",1408,0
2600,"Fort Bend County, TX",739342,2259
2601,"Franklin County, TX",10679,22
2602,"Freestone County, TX",19709,14
2603,"Frio County, TX",19394,19
2604,"Gaines County, TX",20321,93
2605,"Galveston County, TX",327089,1481
2606,"Garza County, TX",6288,49
2607,"Gillespie County, TX",26208,739
2608,"Glasscock County, TX",1430,0
2609,"Goliad County, TX",7531,0
2610,"Gonzales County, TX",20667,57
2611,"Gray County, TX",22685,309
2612,"Grayson County, TX",128560,1620
2613,"Gregg County, TX",123494,459
2614,"Grimes County, TX",27630,233
2615,"Guadalupe County, TX",155137,507
2616,"Hale County, TX",34113,260
2617,"Hall County, TX",3074,20
2618,"Hamilton County, TX",8269,62
2619,"Hansford County, TX",5547,4
2620,"Hardeman County, TX",3952,41
2621,"Hardin County, TX",56379,110
2622,"Harris County, TX",4602523,18386
2623,"Harrison County, TX",66645,246
2624,"Hartley County, TX",5767,2
2625,"Haskell County, TX",5809,33
2626,"Hays County, TX",204150,703
2627,"Hemphill County, TX",4061,17
2628,"Henderson County, TX",80460,666
2629,"Hidalgo County, TX",849389,1619
2630,"Hill County, TX",35399,432
2631,"Hockley County, TX",23162,154
2632,"Hood County, TX",56901,535
2633,"Hopkins County, TX",36240,65
2634,"Houston County, TX",22955,70
2635,"Howard County, TX",36667,437
2636,"Hudspeth County, TX",4098,0
2637,"Hunt County, TX",92152,1047
2638,"Hutchinson County, TX",21571,369
2639,"Irion County, TX",1524,0
2640,"Jack County, TX",8842,23
2641,"Jackson County, TX",14820,0
2642,"Jasper County, TX",35504,109
2643,"Jeff Davis County, TX",2234,9
2644,"Jefferson County, TX",255210,821
2645,"Jim Hogg County, TX",5282,2
2646,"Jim Wells County, TX",41192,55
2647,"Johnson County, TX",163475,858
2648,"Jones County, TX",19891,153
2649,"Karnes County, TX",15387,32
2650,"Kaufman County, TX",118910,523
2651,"Kendall County, TX",41982,265
