,GEO_NAME,County_Population
799,"Butler County, IA",14735
800,"Calhoun County, IA",9780
801,"Carroll County, IA",20344
802,"Cass County, IA",13191
803,"Cedar County, IA",18445
804,"Cerro Gordo County, IA",42984
805,"Cherokee County, IA",11468
806,"Chickasaw County, IA",12099
807,"Clarke County, IA",9282
808,"Clay County, IA",16313
809,"Clayton County, IA",17672
810,"Clinton County, IA",47218
811,"Crawford County, IA",17132
812,"Dallas County, IA",84002
813,"Davis County, IA",8885
814,"Decatur County, IA",8044
815,"Delaware County, IA",17258
816,"Des Moines County, IA",39600
817,"Dickinson County, IA",17056
818,"Dubuque County, IA",96802
819,"Emmet County, IA",9551
820,"Fayette County, IA",19929
821,"Floyd County, IA",15858
822,"Franklin County, IA",10245
823,"Fremont County, IA",6968
824,"Greene County, IA",9003
825,"Grundy County, IA",12341
826,"Guthrie County, IA",10674
827,"Hamilton County, IA",15110
828,"Hancock County, IA",10888
829,"Hardin County, IA",17127
830,"Harrison County, IA",14143
831,"Henry County, IA",19926
832,"Howard County, IA",9264
833,"Humboldt County, IA",9566
834,"Ida County, IA",6916
835,"Iowa County, IA",16207
836,"Jackson County, IA",19395
837,"Jasper County, IA",36891
838,"Jefferson County, IA",18077
839,"Johnson County, IA",147001
840,"Jones County, IA",20568
841,"Keokuk County, IA",10200
842,"Kossuth County, IA",15075
843,"Lee County, IA",34541
844,"Linn County, IA",222121
845,"Louisa County, IA",11223
846,"Lucas County, IA",8597
847,"Lyon County, IA",11769
848,"Madison County, IA",15890
849,"Mahaska County, IA",22208
850,"Marion County, IA",33207
851,"Marshall County, IA",40271
852,"Mills County, IA",14957
853,"Mitchell County, IA",10631
854,"Monona County, IA",8796
855,"Monroe County, IA",7863
856,"Montgomery County, IA",10155
857,"Muscatine County, IA",42950
858,"O'Brien County, IA",13911
859,"Osceola County, IA",6115
860,"Page County, IA",15363
861,"Palo Alto County, IA",9055
862,"Plymouth County, IA",25039
863,"Pocahontas County, IA",6898
864,"Polk County, IA",474274
865,"Pottawattamie County, IA",93503
866,"Poweshiek County, IA",18605
867,"Ringgold County, IA",4984
868,"Sac County, IA",9868
869,"Scott County, IA",172288
870,"Shelby County, IA",11694
871,"Sioux County, IA",34825
872,"Story County, IA",96922
873,"Tama County, IA",17136
874,"Taylor County, IA",6201
875,"Union County, IA",12453
876,"Van Buren County, IA",7223
877,"Wapello County, IA",35315
878,"Warren County, IA",49361
879,"Washington County, IA",22143
880,"Wayne County, IA",6413
881,"Webster County, IA",36757
882,"Winnebago County, IA",10571
883,"Winneshiek County, IA",20401
884,"Woodbury County, IA",102398
885,"Worth County, IA",7489
886,"Wright County, IA",12804
887,"Allen County, KS",12630
888,"Anderson County, KS",7852
889,"Atchison County, KS",16363
890,"Barber County, KS",4733
891,"Barton County, KS",26791
892,"Bourbon County, KS",14702
893,"Brown County, KS",9664
894,"Butler County, KS",66468
895,"Chase County, KS",2645
896,"Chautauqua County, KS",3367
897,"Cherokee County, KS",20331
898,"Cheyenne County, KS",2677
899,"Clark County, KS",2053
900,"Clay County, KS",8142
901,"Cloud County, KS",9060
902,"Coffey County, KS",8296
903,"Comanche County, KS",1780
904,"Cowley County, KS",35591
905,"Crawford County, KS",39108
906,"Decatur County, KS",2881
907,"Dickinson County, KS",19004
908,"Doniphan County, KS",7736
909,"Douglas County, KS",119319
910,"Edwards County, KS",2925
911,"Elk County, KS",2562
912,"Ellis County, KS",28878
913,"Ellsworth County, KS",6293
