,ctname,Predrt_1_2
58834,"Fannin County, GA",43.92
58852,"Fayette County, GA",43.96
58915,"Floyd County, GA",46.03
58978,"Forsyth County, GA",43.91
59116,"Franklin County, GA",45.92
59134,"Fulton County, GA",52.49
59749,"Gilmer County, GA",42.39
59767,"Glascock County, GA",54.36
59773,"Glynn County, GA",45.74
59824,"Gordon County, GA",45.66
59854,"Grady County, GA",45.69
59875,"Greene County, GA",44.1
59899,"Gwinnett County, GA",50.05
60241,"Habersham County, GA",46.29
60268,"Hall County, GA",47.48
60379,"Hancock County, GA",41.86
60388,"Haralson County, GA",48.44
60406,"Harris County, GA",43.71
60424,"Hart County, GA",45.43
60442,"Heard County, GA",49.07
60454,"Henry County, GA",48.2
60532,"Houston County, GA",47.83
60604,"Irwin County, GA",49.99
60613,"Jackson County, GA",47.61
60649,"Jasper County, GA",48.11
60661,"Jeff Davis County, GA",51.69
60673,"Jefferson County, GA",43.12
60688,"Jenkins County, GA",41.76
60697,"Johnson County, GA",50.77
60709,"Jones County, GA",48.42
60730,"Lamar County, GA",46.67
60742,"Lanier County, GA",45.22
60751,"Laurens County, GA",46.58
60793,"Lee County, GA",49.07
60811,"Liberty County, GA",54.58
60859,"Lincoln County, GA",40.68
60868,"Long County, GA",51.98
60880,"Lowndes County, GA",47.6
60958,"Lumpkin County, GA",44.4
60973,"McDuffie County, GA",51.79
60991,"McIntosh County, GA",47.42
61009,"Macon County, GA",46.13
61024,"Madison County, GA",46.54
61045,"Marion County, GA",47.58
61054,"Meriwether County, GA",46.66
61069,"Miller County, GA",46.97
61081,"Mitchell County, GA",45.66
61099,"Monroe County, GA",46.13
61117,"Montgomery County, GA",44.59
61129,"Morgan County, GA",41.39
61147,"Murray County, GA",49.67
61174,"Muscogee County, GA",49.78
61336,"Newton County, GA",50.25
61378,"Oconee County, GA",42.55
61399,"Oglethorpe County, GA",44.33
61414,"Paulding County, GA",46.34
61474,"Peach County, GA",49.32
61495,"Pickens County, GA",46.39
61516,"Pierce County, GA",51.39
61531,"Pike County, GA",42.78
61546,"Polk County, GA",47.19
61570,"Pulaski County, GA",48.52
61582,"Putnam County, GA",48.41
61600,"Quitman County, GA",41.95
61606,"Rabun County, GA",41.1
61624,"Randolph County, GA",48.92
61633,"Richmond County, GA",50.16
61777,"Rockdale County, GA",47.36
61825,"Schley County, GA",42.06
61834,"Screven County, GA",44.17
61852,"Seminole County, GA",45.16
61864,"Spalding County, GA",46.78
61903,"Stephens County, GA",48.34
61921,"Stewart County, GA",48.05
61930,"Sumter County, GA",46.5
61957,"Talbot County, GA",39.76
61969,"Taliaferro County, GA",35.88
61975,"Tattnall County, GA",46.38
61993,"Taylor County, GA",46.76
62005,"Telfair County, GA",44.77
62017,"Terrell County, GA",47.32
62032,"Thomas County, GA",46.38
62068,"Tift County, GA",50.27
62098,"Toombs County, GA",43.4
62119,"Towns County, GA",39.92
62131,"Treutlen County, GA",41.5
62140,"Troup County, GA",48.22
62185,"Turner County, GA",42.55
62194,"Twiggs County, GA",51.1
62203,"Union County, GA",44.1
62224,"Upson County, GA",43.04
62248,"Walker County, GA",45.35
62290,"Walton County, GA",46.7
62338,"Ware County, GA",48.82
62368,"Warren County, GA",47.08
62377,"Washington County, GA",47.55
62395,"Wayne County, GA",47.04
62416,"Webster County, GA",39.14
62425,"Wheeler County, GA",44.34
62434,"White County, GA",46.42
62452,"Whitfield County, GA",49.38
62509,"Wilcox County, GA",44.13
62524,"Wilkes County, GA",47.16
62539,"Wilkinson County, GA",42.14
62551,"Worth County, GA",50.1
